year,artist,title,spotify_query,spotify_id
1930,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1931,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1932,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1933,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu
1934,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz,4W0sbtVR0pqOo2d7qAHhGr
1935,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1936,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1937,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1938,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu
1939,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz,4W0sbtVR0pqOo2d7qAHhGr
1940,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1941,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1942,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1943,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu
1944,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz,4W0sbtVR0pqOo2d7qAHhGr
1945,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1946,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1947,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1948,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu
1949,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz,4W0sbtVR0pqOo2d7qAHhGr
1950,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1951,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1952,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1953,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again,2Pi0rY9FcbaecqO0AyhXbu
1954,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz,4W0sbtVR0pqOo2d7qAHhGr
1955,Bing Crosby,White Christmas,Bing Crosby White Christmas,3XsaSIPWvM61RIFfeb0BBR
1956,Glenn Miller,In the Mood,Glenn Miller In the Mood,54h1RKrrFJDsNOfhwmqu9o
1957,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy,3axPhcbhVDOA9MnhkUrFcE
1958,David Seville,Witch Doctor,David Seville Witch Doctor,5qDzpN8imyZ3qyRAcclRkI
1958,Domenico Modugno,Volare,Domenico Modugno Volare,71hIekopkrYCGgggsBOpVG
1958,Elvis Presley,Don't,Elvis Presley Don't,1MUsWVRPLaC7ANKcEiMRCl
1958,Perez Prado,Patricia,Perez Prado Patricia,1BbZJplex0pifLjhuhoaK5
1958,The Everly Brothers,All I Have to Do Is Dream,The Everly Brothers All I Have to Do Is Dream,7dblNGnRXEBrVJunazs2U5
1960,Brenda Lee,I'm Sorry,Brenda Lee I'm Sorry,4LJcNiq2pBb8OeqrGdBJQw
1960,Elvis Presley,It's Now or Never,Elvis Presley It's Now or Never,1XunTmhOcj3xwh4b8P3isX
1960,Johnny Preston,Running Bear,Johnny Preston Running Bear,3MM9NBVyHtjHWVQekES04q
1960,Percy Faith,Theme from A Summer Place,Percy Faith Theme from A Summer Place,6zwvB879PJSpTyFcg2wwnL
1960,The Brothers Four,Greenfields,The Brothers Four Greenfields,7LAsDdinXejDwodvelVVTa
1965,The Beach Boys,"Help Me, Rhonda","The Beach Boys Help Me, Rhonda",3haZcHm3HydDVxm3je3Zmg
1965,The Beatles,I Want to Hold Your Hand,The Beatles I Want to Hold Your Hand,5Qe7NHxeLAn8KoLTNLSdwe
1965,The Byrds,Mr. Tambourine Man,The Byrds Mr. Tambourine Man,2HCaIYjkvWSZzaSKUoOh3d
1965,The Rolling Stones,(I Can't Get No) Satisfaction,The Rolling Stones (I Can't Get No) Satisfaction,2PzU4IB8Dr6mxV3lHuaG34
1965,The Supremes,Stop! In the Name of Love,The Supremes Stop! In the Name of Love,52FlwUMMDnTK8TGkCag9Jd
1970,B.J. Thomas,Raindrops Keep Fallin' on My Head,B.J. Thomas Raindrops Keep Fallin' on My Head,2s1Yh0AywJhLsKKZ9vM0tm
1970,Carpenters,(They Long to Be) Close to You,Carpenters (They Long to Be) Close to You,2kyVQg00pphEufGT59M2XH
1970,Edwin Starr,War,Edwin Starr War,4ZEEcEMGjkWOfZNBcIB9yE
1970,Simon & Garfunkel,Bridge Over Troubled Water,Simon & Garfunkel Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9
1970,The Guess Who,American Woman,The Guess Who American Woman,0emHuukZSuaOzOlsAWHj2W
1975,Captain & Tennille,Love Will Keep Us Together,Captain & Tennille Love Will Keep Us Together,4pCNJwixy2ImFncaPY2yE2
1975,Eagles,One of These Nights,Eagles One of These Nights,608xszaAxVh4m7NcKJiAbF
1975,"Earth, Wind & Fire",Shining Star,"Earth, Wind & Fire Shining Star",0RgcOUQg4qYAEt9RIdf3oB
1975,KC & The Sunshine Band,That's the Way (I Like It),KC & The Sunshine Band That's the Way (I Like It),3PR79C1jVvLLLmgdyHkXl3
1975,Olivia Newton-John,Have You Never Been Mellow,Olivia Newton-John Have You Never Been Mellow,5ehVOC0zSdwWqyZlhomJSi
1980,Blondie,Call Me,Blondie Call Me,7HKxTNVlkHsfMLhigmhC0I
1980,Kenny Rogers,Lady,Kenny Rogers Lady,5Pj5zrq2nbKcAekH1AxbrO
1980,Olivia Newton-John,Magic,Olivia Newton-John Magic,4i06mRZuqg31xNuDvs4Lsd
1980,Pink Floyd,Another Brick in the Wall,Pink Floyd Another Brick in the Wall,4gMgiXfqyzZLMhsksGmbQV
1980,Queen,Crazy Little Thing Called Love,Queen Crazy Little Thing Called Love,6xdLJrVj4vIXwhuG8TMopk
1981,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1981,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1981,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1981,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1981,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1981,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1981,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
1981,JVG,Ikuinen vappu,JVG Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU
1981,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc
1981,Nightwish,Nemo,Nightwish Nemo,1RNwniZkJqdw9LMkkyynjx
1982,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen,6NnlKsBKcZjwRkG85lZALl
1982,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler,2vlgOAH3M8Fmo19wOjeRyw
1982,Cha Cha Cha,Käärijä,Cha Cha Cha Käärijä,
1982,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia,0wrhLxy4aDAQ0z3FOa4aoe
1982,Darude,Sandstorm,Darude Sandstorm,6Sy9BUbgFse0n0LPA5lwy5
1982,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo,30Ycic1p43sN4KlzK9MX4G
1982,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi,4zD8z85QgLsmM7vbnkTMCb
