year,artist,title,spotify_track_id
1968,The Beatles,Hey Jude,3H7ihDc1dqLriiWXwsc2po
1971,John Lennon,Imagine,7pKfPomDEeI4TPT6EOYjn9
1976,ABBA,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr
1977,Fleetwood Mac,Dreams,0ofHAoxe9vBkTCp2UQIavz
1979,Queen,Don't Stop Me Now,5T8EDUDqKcs6OSOwEsfqG7
1980,Queen,Another One Bites The Dust,57JVGBtBLCfHw2muk5416J
1981,Journey,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue
1982,Survivor,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2
1983,Michael Jackson,Billie Jean,5ChkMS8OtdzJeqyybCc9R5
1984,a-ha,Take On Me,2WfaOiMkCvy7F5fcp2zZ8L
1985,Wham!,Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c
1986,Europe,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK
1987,Whitney Houston,I Wanna Dance with Somebody,2tUBqZG2AbRi7Q0BIrVrEj
1988,Guns N' Roses,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51
1989,Madonna,Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci
1990,Sinead O'Connor,Nothing Compares 2 U,5ghIJDpPoe3CfHMGu71E6T
1991,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T
1992,Red Hot Chili Peppers,Under the Bridge,1f2V8U1BiWaC9aJWmpOARe
1993,4 Non Blondes,What's Up?,0jWgAnTrNZmOGmqgvHhZEm
1994,Oasis,Live Forever,54G7uikM6C5fY4YfA6Lh4z
1995,Coolio,Gangsta's Paradise,3a1lNhkSLSkpJE4MSHpDu9
1996,Spice Girls,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT
1997,Backstreet Boys,Everybody (Backstreet's Back),5y69gQtK33qxb8a24ACkCy
1998,Britney Spears,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa
1999,TLC,No Scrubs,1KGi9sZVMeszgZOWivFpxs
2000,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg
2001,Shakira,Whenever Wherever,2lnzGkdtDj5mtlcOW2yRtG
2002,Eminem,Without Me,2igwFfvr1OAGX9SKDCPBwO
2003,OutKast,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM
2004,Usher,Yeah!,5rb9QrpfcKFHM1EUbSIurX
2005,Green Day,Boulevard of Broken Dreams,5GorFaKkP2mLREQvhSblIg
2006,Gnarls Barkley,Crazy,1vxw6aYJls2oq3gW0DujAo
2007,Rihanna,Umbrella,49FYlytm3dAAraYgpoJZux
2008,Katy Perry,I Kissed A Girl,14iN3o8ptQ8FwL4gN5uXGu
2009,Lady Gaga,Bad Romance,0SiywuOBRcynK0uKGWdCnn
2010,Adele,Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk
2011,LMFAO,Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P
2012,Gotye,Somebody That I Used to Know,4wCmqSrbyCgxEXROQE6vtV
2013,Daft Punk,Get Lucky,69kOkLUCkxIZYexIgSG8rq
2014,Mark Ronson,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS
2015,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
2016,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw
2017,Luis Fonsi,Despacito,6habFhsOp2NvshLv26DqMb
2018,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9
2019,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m
2020,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
2021,Dua Lipa,Levitating,39LLxExYz6ewLAcYrzQQyP
2022,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7
2023,Miley Cyrus,Flowers,0yLdNVWF3Srea0uzk55zFn
2024,Teddy Swims,Lose Control,17phhZDn6oGtzMe56NuWvj
