year,artist,title,spotify_query
1930,Bing Crosby,White Christmas,Bing Crosby White Christmas
1931,Glenn Miller,In the Mood,Glenn Miller In the Mood
1932,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1933,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again
1934,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz
1935,Bing Crosby,White Christmas,Bing Crosby White Christmas
1936,Glenn Miller,In the Mood,Glenn Miller In the Mood
1937,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1938,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again
1939,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz
1940,Bing Crosby,White Christmas,Bing Crosby White Christmas
1941,Glenn Miller,In the Mood,Glenn Miller In the Mood
1942,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1943,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again
1944,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz
1945,Bing Crosby,White Christmas,Bing Crosby White Christmas
1946,Glenn Miller,In the Mood,Glenn Miller In the Mood
1947,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1948,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again
1949,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz
1950,Bing Crosby,White Christmas,Bing Crosby White Christmas
1951,Glenn Miller,In the Mood,Glenn Miller In the Mood
1952,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1953,Frank Sinatra,I'll Never Smile Again,Frank Sinatra I'll Never Smile Again
1954,Patti Page,Tennessee Waltz,Patti Page Tennessee Waltz
1955,Bing Crosby,White Christmas,Bing Crosby White Christmas
1956,Glenn Miller,In the Mood,Glenn Miller In the Mood
1957,The Andrews Sisters,Boogie Woogie Bugle Boy,The Andrews Sisters Boogie Woogie Bugle Boy
1958,David Seville,Witch Doctor,David Seville Witch Doctor
1958,Domenico Modugno,Volare,Domenico Modugno Volare
1958,Elvis Presley,Don't,Elvis Presley Don't
1958,Perez Prado,Patricia,Perez Prado Patricia
1958,The Everly Brothers,All I Have to Do Is Dream,The Everly Brothers All I Have to Do Is Dream
1960,Brenda Lee,I'm Sorry,Brenda Lee I'm Sorry
1960,Elvis Presley,It's Now or Never,Elvis Presley It's Now or Never
1960,Johnny Preston,Running Bear,Johnny Preston Running Bear
1960,Percy Faith,Theme from A Summer Place,Percy Faith Theme from A Summer Place
1960,The Brothers Four,Greenfields,The Brothers Four Greenfields
1965,The Beach Boys,"Help Me, Rhonda","The Beach Boys Help Me, Rhonda"
1965,The Beatles,I Want to Hold Your Hand,The Beatles I Want to Hold Your Hand
1965,The Byrds,Mr. Tambourine Man,The Byrds Mr. Tambourine Man
1965,The Rolling Stones,(I Can't Get No) Satisfaction,The Rolling Stones (I Can't Get No) Satisfaction
1965,The Supremes,Stop! In the Name of Love,The Supremes Stop! In the Name of Love
1970,B.J. Thomas,Raindrops Keep Fallin' on My Head,B.J. Thomas Raindrops Keep Fallin' on My Head
1970,Carpenters,(They Long to Be) Close to You,Carpenters (They Long to Be) Close to You
1970,Edwin Starr,War,Edwin Starr War
1970,Simon & Garfunkel,Bridge Over Troubled Water,Simon & Garfunkel Bridge Over Troubled Water
1970,The Guess Who,American Woman,The Guess Who American Woman
1975,Captain & Tennille,Love Will Keep Us Together,Captain & Tennille Love Will Keep Us Together
1975,Eagles,One of These Nights,Eagles One of These Nights
1975,"Earth, Wind & Fire",Shining Star,"Earth, Wind & Fire Shining Star"
1975,KC & The Sunshine Band,That's the Way (I Like It),KC & The Sunshine Band That's the Way (I Like It)
1975,Olivia Newton-John,Have You Never Been Mellow,Olivia Newton-John Have You Never Been Mellow
1980,Blondie,Call Me,Blondie Call Me
1980,Kenny Rogers,Lady,Kenny Rogers Lady
1980,Olivia Newton-John,Magic,Olivia Newton-John Magic
1980,Pink Floyd,Another Brick in the Wall,Pink Floyd Another Brick in the Wall
1980,Queen,Crazy Little Thing Called Love,Queen Crazy Little Thing Called Love
1981,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1981,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1981,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1981,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1981,Darude,Sandstorm,Darude Sandstorm
1981,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1981,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1981,JVG,Ikuinen vappu,JVG Ikuinen vappu
1981,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1981,Nightwish,Nemo,Nightwish Nemo
1982,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1982,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1982,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1982,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1982,Darude,Sandstorm,Darude Sandstorm
1982,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1982,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1982,JVG,Ikuinen vappu,JVG Ikuinen vappu
1982,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1982,Nightwish,Nemo,Nightwish Nemo
1983,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1983,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1983,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1983,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1983,Darude,Sandstorm,Darude Sandstorm
1983,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1983,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1983,JVG,Ikuinen vappu,JVG Ikuinen vappu
1983,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1983,Nightwish,Nemo,Nightwish Nemo
1984,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1984,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1984,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1984,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1984,Darude,Sandstorm,Darude Sandstorm
1984,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1984,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1984,JVG,Ikuinen vappu,JVG Ikuinen vappu
1984,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1984,Nightwish,Nemo,Nightwish Nemo
1985,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1985,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1985,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1985,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1985,Darude,Sandstorm,Darude Sandstorm
1985,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1985,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1985,JVG,Ikuinen vappu,JVG Ikuinen vappu
1985,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1985,Nightwish,Nemo,Nightwish Nemo
1986,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1986,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1986,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1986,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1986,Darude,Sandstorm,Darude Sandstorm
1986,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1986,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1986,JVG,Ikuinen vappu,JVG Ikuinen vappu
1986,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1986,Nightwish,Nemo,Nightwish Nemo
1987,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1987,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1987,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1987,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1987,Darude,Sandstorm,Darude Sandstorm
1987,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1987,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1987,JVG,Ikuinen vappu,JVG Ikuinen vappu
1987,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1987,Nightwish,Nemo,Nightwish Nemo
1988,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1988,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1988,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1988,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1988,Darude,Sandstorm,Darude Sandstorm
1988,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1988,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1988,JVG,Ikuinen vappu,JVG Ikuinen vappu
1988,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1988,Nightwish,Nemo,Nightwish Nemo
1989,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1989,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1989,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1989,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1989,Darude,Sandstorm,Darude Sandstorm
1989,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1989,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1989,JVG,Ikuinen vappu,JVG Ikuinen vappu
1989,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1989,Nightwish,Nemo,Nightwish Nemo
1990,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1990,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1990,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1990,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1990,Darude,Sandstorm,Darude Sandstorm
1990,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1990,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1990,JVG,Ikuinen vappu,JVG Ikuinen vappu
1990,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1990,Nightwish,Nemo,Nightwish Nemo
1991,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1991,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1991,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1991,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1991,Darude,Sandstorm,Darude Sandstorm
1991,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1991,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1991,JVG,Ikuinen vappu,JVG Ikuinen vappu
1991,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1991,Nightwish,Nemo,Nightwish Nemo
1992,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1992,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1992,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1992,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1992,Darude,Sandstorm,Darude Sandstorm
1992,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1992,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1992,JVG,Ikuinen vappu,JVG Ikuinen vappu
1992,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1992,Nightwish,Nemo,Nightwish Nemo
1993,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1993,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1993,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1993,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1993,Darude,Sandstorm,Darude Sandstorm
1993,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1993,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1993,JVG,Ikuinen vappu,JVG Ikuinen vappu
1993,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1993,Nightwish,Nemo,Nightwish Nemo
1994,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1994,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1994,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1994,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1994,Darude,Sandstorm,Darude Sandstorm
1994,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1994,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1994,JVG,Ikuinen vappu,JVG Ikuinen vappu
1994,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1994,Nightwish,Nemo,Nightwish Nemo
1995,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1995,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1995,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1995,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1995,Darude,Sandstorm,Darude Sandstorm
1995,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1995,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1995,JVG,Ikuinen vappu,JVG Ikuinen vappu
1995,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1995,Nightwish,Nemo,Nightwish Nemo
1996,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1996,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1996,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1996,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1996,Darude,Sandstorm,Darude Sandstorm
1996,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1996,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1996,JVG,Ikuinen vappu,JVG Ikuinen vappu
1996,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1996,Nightwish,Nemo,Nightwish Nemo
1997,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1997,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1997,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1997,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1997,Darude,Sandstorm,Darude Sandstorm
1997,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1997,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1997,JVG,Ikuinen vappu,JVG Ikuinen vappu
1997,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1997,Nightwish,Nemo,Nightwish Nemo
1998,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1998,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1998,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1998,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1998,Darude,Sandstorm,Darude Sandstorm
1998,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1998,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1998,JVG,Ikuinen vappu,JVG Ikuinen vappu
1998,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1998,Nightwish,Nemo,Nightwish Nemo
1999,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
1999,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
1999,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
1999,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
1999,Darude,Sandstorm,Darude Sandstorm
1999,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
1999,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
1999,JVG,Ikuinen vappu,JVG Ikuinen vappu
1999,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
1999,Nightwish,Nemo,Nightwish Nemo
2000,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
2000,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
2000,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
2000,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
2000,Darude,Sandstorm,Darude Sandstorm
2000,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
2000,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
2000,JVG,Ikuinen vappu,JVG Ikuinen vappu
2000,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
2000,Nightwish,Nemo,Nightwish Nemo
2001,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
2001,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
2001,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
2001,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
2001,Darude,Sandstorm,Darude Sandstorm
2001,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
2001,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
2001,JVG,Ikuinen vappu,JVG Ikuinen vappu
2001,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
2001,Nightwish,Nemo,Nightwish Nemo
2002,Aki Sirkesalo,Naispaholainen,Aki Sirkesalo Naispaholainen
2002,Bomfunk MC's,Freestyler,Bomfunk MC's Freestyler
2002,Cha Cha Cha,KÃ¤Ã¤rijÃ¤,Cha Cha Cha KÃ¤Ã¤rijÃ¤
2002,Cheek,Timantit on ikuisia,Cheek Timantit on ikuisia
2002,Darude,Sandstorm,Darude Sandstorm
2002,Dingo,Levoton Tuhkimo,Dingo Levoton Tuhkimo
2002,Haloo Helsinki!,Beibi,Haloo Helsinki! Beibi
2002,JVG,Ikuinen vappu,JVG Ikuinen vappu
2002,Lordi,Hard Rock Hallelujah,Lordi Hard Rock Hallelujah
2002,Nightwish,Nemo,Nightwish Nemo
